County,Country,FOB
Bedfordshire,England,5
Berkshire,England,5
Buckinghamshire,England,5
Cleveland,England,12
Cambridgeshire,England,5
Cheshire,England,7
Cornwall,England,11
Cumbria,England,12
Derbyshire,England,4
Devon,England,11
Devonshire,England,11
Dorset,England,11
Durham,England,12
Essex,England,5
Gloucestershire,England,1
Hampshire,England,5
Isle of Wight,England,5
Hereford & Worcester,England,1
Hertfordshire,England,5
Hertford,England,5
Kent,England,5
Lancashire,England,7
Leicestershire,England,4
Leicester,England,4
Lincolnshire,England,4
Merseyside,England,7
Greater London South,England,5
Greater London North,England,5
Greater London - East,England,5
Greater London,England,5
Norfolk,England,5
Northamptonshire,England,4
Tyne & Wear,England,12
Northumberland,England,12
Nottinghamshire,England,4
Oxfordshire,England,5
Avon,England,1
Shropshire,England,1
Somerset,England,11
Staffordshire,England,4
Suffolk,England,5
Isles of Scilly,England,11
Surrey,England,5
East Sussex,England,5
West Sussex,England,5
Warwickshire,England,4
Greater Manchester,England,7
Wiltshire,England,1
West Midlands,England,1
South Yorkshire,England,6
North Yorkshire,England,6
West Yorkshire,England,7
Humberside,England,6
North Powys,Wales,10
South Powys,Wales,10
Gwynedd,Wales,10
Dyfed,Wales,10
Clwyd,Wales,10
South Glamorgan,Wales,10
Mid Glamorgan,Wales,10
West Glamorgan,Wales,10
Gwent,Wales,10
Aberdeenshire,Scotland,3
Angus,Scotland,3
Argyll,Scotland,3
Ayrshire,Scotland,3
Banffshire,Scotland,3
Berwickshire,Scotland,3
Bute,Scotland,3
Caithness,Scotland,3
Clackmannan,Scotland,3
Dumfriesshire,Scotland,3
Dumbarton,Scotland,3
Dumbartonshire,Scotland,3
East Lothian,Scotland,3
Fife,Scotland,3
Inverness-shire,Scotland,3
Kincardineshire,Scotland,3
Kinross,Scotland,3
Kirkcudbright,Scotland,3
Lanarkshire,Scotland,3
Mid Lothian,Scotland,3
Edinburgh,Scotland,3
Moray,Scotland,3
Nairn,Scotland,3
Orkney,Scotland,3
Peebles,Scotland,3
Perth,Scotland,3
Renfrew,Scotland,3
Ross & Cromarty,Scotland,3
Roxburgh,Scotland,3
Selkirk,Scotland,3
Shetland,Scotland,3
Stirling,Scotland,3
Sutherland,Scotland,3
West Lothian,Scotland,3
Wigtown,Scotland,3
