CountyNumber,CountyName,FOB
1,BEDFORDSHIRE,5
2,BERKSHIRE,5
3,BUCKINGHAMSHIRE,5
4,CLEVELAND,12
5,CAMBRIDGESHIRE,5
6,CHESHIRE,7
7,CORNWALL,11
8,CUMBRIA,12
9,DERBYSHIRE,4
10,DEVON,11
11,DORSET,11
12,DURHAM,12
13,ESSEX,5
14,GLOUCESTERSHIRE,1
15,HAMPSHIRE,5
16,ISLE OF WIGHT,5
17,HEREFORD & WORCESTER,1
18,HERTFORDSHIRE,5
19,,
20,KENT,5
21,LANCASHIRE,7
22,LEICESTERSHIRE,4
23,,
24,LINCOLNSHIRE,4
25,MERSEYSIDE,7
26,GREATER LONDON NORTH,5
27,GREATER LONDON SOUTH,5
28,NORFOLK,5
29,NORTHAMPTONSHIRE,4
30,TYNE & WEAR,12
31,NORTHUMBERLAND,12
32,NOTTINGHAMSHIRE,4
33,OXFORDSHIRE,5
34,AVON,1
35,SHROPSHIRE,1
36,SOMERSET,11
37,STAFFORDSHIRE,4
38,SUFFOLK,5
39,ISLES OF SCILLY,11
40,SURREY,5
41,EAST SUSSEX,5
42,WEST SUSSEX,5
43,WARWICKSHIRE,4
44,GREATER MANCHESTER,7
45,WILTSHIRE,1
46,WEST MIDLANDS,1
47,SOUTH YORKSHIRE,6
48,NORTH YORKSHIRE,6
49,WEST YORKSHIRE,7
50,NORTH YORKSHIRE,6
51,HUMBERSIDE,6
52,WELSH COUNTIES,10
53,WELSH COUNTIES,10
54,WELSH COUNTIES,10
55,WELSH COUNTIES,10
56,WELSH COUNTIES,10
57,WELSH COUNTIES,10
58,WELSH COUNTIES,10
59,WELSH COUNTIES,10
60,WELSH COUNTIES,10
61,SCOTTISH COUNTIES,3
62,SCOTTISH COUNTIES,3
63,SCOTTISH COUNTIES,3
64,SCOTTISH COUNTIES,3
65,SCOTTISH COUNTIES,3
66,SCOTTISH COUNTIES,3
67,SCOTTISH COUNTIES,3
68,SCOTTISH COUNTIES,3
69,SCOTTISH COUNTIES,3
70,SCOTTISH COUNTIES,3
71,SCOTTISH COUNTIES,3
72,SCOTTISH COUNTIES,3
73,SCOTTISH COUNTIES,3
74,SCOTTISH COUNTIES,3
75,SCOTTISH COUNTIES,3
76,SCOTTISH COUNTIES,3
77,SCOTTISH COUNTIES,3
78,SCOTTISH COUNTIES,3
79,SCOTTISH COUNTIES,3
80,SCOTTISH COUNTIES,3
81,SCOTTISH COUNTIES,3
82,SCOTTISH COUNTIES,3
83,SCOTTISH COUNTIES,3
84,SCOTTISH COUNTIES,3
85,SCOTTISH COUNTIES,3
86,SCOTTISH COUNTIES,3
87,SCOTTISH COUNTIES,3
88,SCOTTISH COUNTIES,3
89,SCOTTISH COUNTIES,3
90,SCOTTISH COUNTIES,3
91,SCOTTISH COUNTIES,3
92,SCOTTISH COUNTIES,3
93,SCOTTISH COUNTIES,3
94,SCOTTISH COUNTIES,3
95,SCOTTISH COUNTIES,3
96,SCOTTISH COUNTIES,3
97,SCOTTISH COUNTIES,3
98,SCOTTISH COUNTIES,3
99,SCOTTISH COUNTIES,3
